variable_name,variable_type,variable_label,missing_values,non_missing_values
l11a,"haven_labelled, vctrs_vctr, double",% Permanent Full-Time Production Employees Received Formal Training In Last Ffy,221751,48442
l11a1,"haven_labelled, vctrs_vctr, double",Training Programs Amount: Production Full-Time Permanent Employees Trained,263647,6546
l11b,"haven_labelled, vctrs_vctr, double",% Permanent Fulltime Nonproduction Employees Received Formal Training In Last Fy,221936,48257
l11b1,"haven_labelled, vctrs_vctr, double",Training Programs Amount:Non-Production Full-Time Permanent Employees Trained,263673,6520
l12,numeric,Percentage Of Workforce Unionized,255814,14379
l12a,"haven_labelled, vctrs_vctr, double",% Permanent Full-Time Female Employees Received Formal Training In Last FY,249512,20681
l12a1,"haven_labelled, vctrs_vctr, double",Training Programs Amount: Full-Time Permanent Female Employees Trained,260801,9392
l31,"haven_labelled, vctrs_vctr, double","In the last FY, number of workers establishment needed to hire",247318,22875
l31_br,"haven_labelled, vctrs_vctr, double","In the last FY, number of workers establishment needed to hire",265954,4239
l32,"haven_labelled, vctrs_vctr, double","In the last FY, number of workers establishment hired",263232,6961
l32_br,"haven_labelled, vctrs_vctr, double","In the last FY, number of workers establishment hired",268931,1262
l33,"haven_labelled, vctrs_vctr, double",Main reason establishment did not hire more workers in the last FY,267625,2568
l33_br,"haven_labelled, vctrs_vctr, double",Main reason establishment did not hire more workers in the last FY,269804,389
l34,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has dismissed any permanent, full-time workers",197377,72816
l34_br,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has dismissed any permanent, full-time workers",265954,4239
l35,"haven_labelled, vctrs_vctr, double",Typical number of weeks to dismiss full-time permanent worker,252993,17200
l35_br,"haven_labelled, vctrs_vctr, double",Typical number of weeks to dismiss full-time permanent worker,269380,813
l36,"haven_labelled, vctrs_vctr, double",Typical number of weeks paid in severance,252994,17199
l36_br,"haven_labelled, vctrs_vctr, double",Typical number of weeks paid in severance,269380,813
l13,"haven_labelled, vctrs_vctr, double",Did Labour Regulations Affect Decisions Of Hiring Or Firing Permanent Workers?,255770,14423
l14a,numeric,Number Of Permanent Workers That This Establishment Would Have Hired,267500,2693
l14b,numeric,Number Of Permanent Workers That This Establishment Would Have Fired,267521,2672
l30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Labor Regulations?,695,269498
l30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Inadequately Educated Workforce?,89,270104
l30d,"haven_labelled, vctrs_vctr, double",How Much of An Obstacle: The regulation of dismissing workers?,252191,18002
l30c,"haven_labelled, vctrs_vctr, double",How Much of An Obstacle: The cost of hiring new workers?,220252,49941
m1d,"haven_labelled, vctrs_vctr, double",Rotation Order,169468,100725
m1a,"haven_labelled, vctrs_vctr, double",Biggest Obstacle Affecting The Operation Of This Establishment,20043,250150
n1a,"haven_labelled, vctrs_vctr, double",% Sales Manufacturing,258326,11867
n1b,"haven_labelled, vctrs_vctr, double",% Sales Services,258326,11867
n1c,"haven_labelled, vctrs_vctr, double",% Sales Other,258326,11867
n2a,"haven_labelled, vctrs_vctr, double","Total Labor Cost (Incl. Wages, Salaries, Bonuses, Etc) In Last Fiscal Year",651,269542
n2a_br,"haven_labelled, vctrs_vctr, double","Follow-up: Total Labor Cost (Incl. Wages, Salaries, Bonuses, Etc) In Last Fiscal",268715,1478
n2a2,"haven_labelled, vctrs_vctr, double",Social security payments and employment-based taxes,200575,69618
n2a2_br,"haven_labelled, vctrs_vctr, double",Social security payments and employment-based taxes,267462,2731
n2a1,"haven_labelled, vctrs_vctr, double","Total Labor Cost (Incl. Wages, Salaries, Bonuses, Etc) 2 fiscal years ago",250804,19389
n2b,"haven_labelled, vctrs_vctr, double",Total Annual Costs Of Electricity In Last Fiscal Year,30071,240122
n2k,"haven_labelled, vctrs_vctr, double",Total Annual Cost of Water,215589,54604
n2k_br,"haven_labelled, vctrs_vctr, double",Total Annual Cost of Water,267397,2796
n2l,"haven_labelled, vctrs_vctr, double","Total Annual Cost of high-speed, fixed broadband internet",215591,54602
n2l_br,"haven_labelled, vctrs_vctr, double","Total Annual Cost of high-speed, fixed broadband internet",267397,2796
n2c,"haven_labelled, vctrs_vctr, double",Total Annual Costs Of Communications Services In Last Fiscal Year,233599,36594
n2d,"haven_labelled, vctrs_vctr, double",Rent,250437,19756
n2e,"haven_labelled, vctrs_vctr, double",Cost Of Raw Materials And Intermediate Goods Used In Prod. In Last Fiscal Year,135144,135049
n2f,"haven_labelled, vctrs_vctr, double",Total Annual Costs Of Fuel In Last Fiscal Year,175693,94500
n2g,"haven_labelled, vctrs_vctr, double",Transportation,258381,11812
n2h,"haven_labelled, vctrs_vctr, double",Total Annual Costs Of Water In Last Fiscal Year,251291,18902
n2i,"haven_labelled, vctrs_vctr, double",Total Annual Cost Of Finished Goods/Materials Bought To Resell In Last Fiscal Yr,223855,46338
n2j,numeric,Other Cost Of Production Not Included Above,236570,33623
n2p,"haven_labelled, vctrs_vctr, double",Total Cost Of Sales In Last Fy,235789,34404
n2ra,numeric,"Total Rental Cost Of Machinery, Vehicles And Equipment",245815,24378
n2rb,numeric,Total Rental Cost Of Land And Buildings,245844,24349
n3,"haven_labelled, vctrs_vctr, double",What Were The Establishment Sales 3 Years Ago,968,269225
n4a,"haven_labelled, vctrs_vctr, double",Average Monthly Compensation Of A Production Full-Time Worker In Last Fiscal Yr,250261,19932
n4b,numeric,Average Monthly Compensation (Non-Production Worker),262098,8095
n5a,"haven_labelled, vctrs_vctr, double",Total Annual Expenditure For Purchases Of Equipment In Last Fiscal Yr,152673,117520
n5b,"haven_labelled, vctrs_vctr, double",Total Annual Expenditure For Purchases Of Land And Buildings In Last Fiscal Yr,152736,117457
n5c,"haven_labelled, vctrs_vctr, double",Total Annual Expenditure For Purchases Of Equipment In Year Prior To Last Fy,255429,14764
n5d,"haven_labelled, vctrs_vctr, double",Total Annual Expenditure On Land And Buildings In Year Prior To Last Fy,255429,14764
n6a,"haven_labelled, vctrs_vctr, double","Net Book Value Of Machinery Vehicles, And Equipment In Last Fiscal Year",198549,71644
n6b,"haven_labelled, vctrs_vctr, double",Net Book Value Of Land And Buildings In Last Fiscal Year,204778,65415
n7a,"haven_labelled, vctrs_vctr, double",Cost For Establishment To Re-Purchase All Of Its Machinery,140110,130083
n7b,"haven_labelled, vctrs_vctr, double",Cost For Establishment To Re-Purchase All Of Its Land And Buildings,205737,64456
n11,"haven_labelled, vctrs_vctr, double",Effective income-based tax rate,197379,72814
n11_br,"haven_labelled, vctrs_vctr, double",Effective income-based tax rate,265955,4238
n12,"haven_labelled, vctrs_vctr, double",Effective consumption tax rate,247320,22873
n12_br,"haven_labelled, vctrs_vctr, double",Effective consumption tax rate,265956,4237
a20d,numeric,Day of the last completed calendar fiscal year,129741,140452
a20d_br,numeric,Follow-up: Close Day of The Last Completed Fiscal Year,268715,1478
a20m,"haven_labelled, vctrs_vctr, double",Month of the last completed calendar fiscal year,129741,140452
a20m_br,"haven_labelled, vctrs_vctr, double",Follow-up: Close Month of The Last Completed Fiscal Year,268715,1478
a20y,numeric,Year of the last completed calendar fiscal year,129741,140452
a20y_br,numeric,Follow-up: Close Year of The Last Completed Fiscal Year,268715,1478
a20_br,character,YEAR,0,270193
q_version,"haven_labelled, vctrs_vctr, double","Version of the Questionnaire, for Indonesia 2023",267238,2955
a1d,"haven_labelled, vctrs_vctr, double",Mode of Collection,220253,49940
strata,"haven_labelled, vctrs_vctr, double","Groups defined by stratification region, size, sector, and panel codes",535,269658
strata_br,"haven_labelled, vctrs_vctr, double","Groups defined by stratification region, size, sector, and panel codes",269705,488
strata_all,numeric,"Control: variable strata, unique by economy and year",535,269658
